model,reduction_method,reduction_description,n_components,cv5_accuracy,loocv_accuracy,cv5_f1,loocv_f1,cv5_auc,loocv_auc,n_samples,classification_type
KNN_7,pca_5,PCA-5,5,0.8133333333333332,0.84,0.7929365079365078,0.8200000000000001,0.882,0.8512,75,two-class
CatBoost_tuned,selectfrommodel_rf_10,SelectFromModel-RF-10,10,0.8800000000000001,0.8266666666666667,0.8600360750360749,0.7985953315430696,0.8800000000000001,0.8320000000000001,75,two-class
KNN_7,selectkbest_f_classif_10,SelectKBest-f_classif-10,10,0.8133333333333332,0.8266666666666667,0.7602055038782727,0.7985953315430696,0.8960000000000001,0.846,75,two-class
RF_extratrees,selectkbest_f_classif_10,SelectKBest-f_classif-10,10,0.8133333333333332,0.8266666666666667,0.7851154401154401,0.7936507936507937,0.8699999999999999,0.8676,75,two-class
SVM_rbf_tuned,selectkbest_f_classif_10,SelectKBest-f_classif-10,10,0.8133333333333332,0.8133333333333334,0.7812698412698412,0.7855392156862746,0.8480000000000001,0.8264,75,two-class
KNN_weighted,selectfrommodel_rf_10,SelectFromModel-RF-10,10,0.8266666666666668,0.8,0.8021538695222906,0.7771836007130125,0.8020000000000002,0.8231999999999999,75,two-class
KNN_5,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,10,0.8266666666666668,0.8,0.7910835058661145,0.7676099979343111,0.8100000000000002,0.774,75,two-class
QDA_reg,selectfrommodel_xgb_5,SelectFromModel-XGB-5,5,0.8133333333333332,0.7866666666666666,0.7732204641950233,0.7549019607843137,0.8560000000000001,0.8208000000000001,75,two-class
QDA_reg,selectfrommodel_xgb_10,SelectFromModel-XGB-10,10,0.8133333333333332,0.7866666666666666,0.7732204641950233,0.7549019607843137,0.8560000000000001,0.8208000000000001,75,two-class
KNN_5,selectfrommodel_rf_10,SelectFromModel-RF-10,10,0.8133333333333332,0.7866666666666666,0.7734092807777018,0.76,0.8000000000000002,0.8044,75,two-class
KNN_weighted,selectkbest_f_classif_10,SelectKBest-f_classif-10,10,0.8133333333333332,0.7866666666666666,0.7770460241512873,0.76,0.852,0.8415999999999999,75,two-class
RF_default,selectfrommodel_rf_5,SelectFromModel-RF-5,5,0.8266666666666665,0.7866666666666666,0.8027344877344877,0.7491638795986622,0.82,0.7968000000000001,75,two-class
XGB_default,selectfrommodel_xgb_10,SelectFromModel-XGB-10,10,0.8133333333333332,0.7733333333333333,0.7839359763043974,0.7423721964033138,0.8320000000000001,0.8400000000000001,75,two-class
XGB_default,selectfrommodel_xgb_5,SelectFromModel-XGB-5,5,0.8133333333333332,0.7733333333333333,0.7839359763043974,0.7423721964033138,0.8320000000000001,0.8400000000000001,75,two-class
HistGB_default,selectfrommodel_xgb_5,SelectFromModel-XGB-5,5,0.8400000000000001,0.76,0.8165079365079364,0.7242647058823529,0.8460000000000001,0.8248,75,two-class
HistGB_default,selectfrommodel_xgb_10,SelectFromModel-XGB-10,10,0.8400000000000001,0.76,0.8165079365079364,0.7242647058823529,0.8460000000000001,0.8248,75,two-class
KNN_5,selectkbest_f_classif_10,SelectKBest-f_classif-10,10,0.8133333333333332,0.76,0.7673445636489115,0.7350863422291993,0.874,0.8271999999999999,75,two-class
HistGB_default,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,10,0.8133333333333332,0.76,0.7712422360248448,0.717809364548495,0.796,0.8263999999999999,75,two-class
HistGB_tuned,selectfrommodel_xgb_10,SelectFromModel-XGB-10,10,0.8533333333333333,0.7466666666666667,0.8321538695222905,0.7056393307167941,0.826,0.8271999999999999,75,two-class
HistGB_tuned,selectfrommodel_xgb_5,SelectFromModel-XGB-5,5,0.8533333333333333,0.7466666666666667,0.8321538695222905,0.7056393307167941,0.826,0.8271999999999999,75,two-class
