Hyd,HoF_HMom_PDB,HMom_PDB,HiF_HiMom_PDB,Center_Angle_deg,HCS4_HF_Mean_SD_PDB,HCS3_HF_Mean_PDB,HCS3_HF_Mean_SD_PDB,HoF_HiF_Distance,Sample_ID,Predicted,Prob_High
1.9032614712118316,-0.0767786422633493,-0.5772493881113432,1.054941025773248,1.441589085142497,0.36451767857171036,-1.0395171143104058,0.33554217875961495,0.10700055206820948,0,1,0.848991572203079
-1.117440130572944,0.22558273515778668,2.7994204695418916,-0.2309453338647001,-0.5610139725207737,0.3037415382835194,0.006961539212564671,0.09173664729934981,-0.35323646662274555,1,0,0.34937531495874713
-1.6572287616366925,0.006553299521207484,-0.3297179088087609,-1.1235839079622887,-0.15217421712000917,0.11608152134857783,0.18216950775239255,-0.6002033533237575,0.27618132329985035,2,0,0.006252413222596528
-1.0708054446964,-0.09430013518115084,-0.44719919647948475,-0.34411522173770703,-0.17074558745015717,-0.794387739659714,-0.06689525916675612,0.0611796870651539,-0.09840927651748725,3,0,0.008063819770171897
3.3827094568022957,0.5530550971377021,-0.4516758047129798,0.7018869807456471,-0.07497704175814204,0.45291236894177994,1.4964826131427158,0.4147140449315951,0.03790536966599283,4,1,0.991219649692823
2.0199867975817387,-0.5285662765668934,1.8286820814642117,0.19833076662100155,0.43265911104445043,0.3347771959799789,0.34968368232484714,0.3143005276059189,-0.09508685797109605,5,1,0.9555606879718942
-1.6944367438002659,-0.10375146725441314,-0.11106134730485587,0.13070200488041778,-0.09494704697748733,-1.2306578931442258,0.6961764117798284,0.18041871941786258,-0.26868678824307457,6,0,0.013615500025862188
1.5864232009986887,-0.5122570751072774,2.719200042187909,0.5581406122202878,-0.14524193884394934,0.1913358247336124,-0.9754766712027961,-0.6469794418701749,0.19153884382936462,7,1,0.7649640145912148
-2.5774788239715254,0.26354913383887135,-0.2875852336106017,0.13008334909497374,0.5204012874347879,0.0664632533920059,0.6583798126916519,-0.2788408264213253,-0.15469528693613654,8,0,0.030878897164236592
-1.6393354339456452,0.12076888823613016,-0.12672878924295114,-0.6994491786278076,-0.2685743543119783,0.3841946881240807,-0.13944755311405085,0.09905095030793779,-0.04855965333535396,9,0,0.01622771815984357
-1.5945627214308797,0.16215850415103533,-0.10216039426573009,-0.6807884914961572,-0.15021230553638146,0.0686961913657157,0.6018115047734935,-0.25956148201855034,-0.08445992087869288,10,0,0.021338510812472858
-1.131791510968388,0.30267209523910593,-0.5421148685706464,0.5858030303477666,0.08358446389622133,0.7757696419469666,0.8912701393987214,0.12715807156563017,1.06106059324346,11,1,0.590689973491111
-1.1744156233264544,-0.21910262870003036,-0.4920058985957723,-0.8603255455558972,0.5937445376554323,0.05131345940922799,-0.00023811109517999393,-0.05610734499587041,-0.1892392762030798,12,0,0.015782119602878595
3.115276508193328,0.40107724179739973,0.08143929987879708,-1.2968039700609244,-0.006474128573683234,0.32846211372557244,1.2835183635127325,-0.08606361613545543,0.13198119229836047,13,1,0.8971378483375236
-0.6197574546121902,0.11613689354703756,-0.5396631111197557,0.6550659400936469,-0.8220233916187863,0.3954685170565266,0.09727136246833602,0.4288406188720786,-0.483377791916597,14,0,0.07184873908847991
