Metric,Mean,Std,Median,Min,Max,95% CI Lower,95% CI Upper,Formatted
Accuracy,0.8800000000000001,0.02666666666666666,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9266666666666666,0.8800 ± 0.0267
Balanced Accuracy,0.85,0.031622776601683784,0.8500000000000001,0.8,0.9,0.805,0.895,0.8500 ± 0.0316
F1 Score (Macro),0.8600360750360749,0.031317938732314254,0.8500000000000001,0.8295454545454546,0.9206349206349206,0.8315909090909092,0.9135714285714285,0.8600 ± 0.0313
F1 Score (Weighted),0.8774555074555075,0.027192755458959307,0.8666666666666667,0.856060606060606,0.9312169312169313,0.8571212121212121,0.9247619047619048,0.8775 ± 0.0272
Precision (Macro),0.8842424242424244,0.04361531478865955,0.8500000000000001,0.8500000000000001,0.9545454545454546,0.8500000000000001,0.9507575757575758,0.8842 ± 0.0436
Recall (Macro),0.85,0.031622776601683784,0.8500000000000001,0.8,0.9,0.805,0.895,0.8500 ± 0.0316
ROC-AUC,0.8800000000000001,0.06066300355241241,0.9,0.8,0.9600000000000001,0.802,0.9560000000000001,0.8800 ± 0.0607
PR-AUC,0.830031746031746,0.10716707075012363,0.8666666666666667,0.6433333333333333,0.9428571428571428,0.6576190476190475,0.9396825396825397,0.8300 ± 0.1072
Log Loss,0.45060773903905504,0.1690233127240428,0.3599283679193657,0.28232950744678514,0.7597998477177168,0.28977444209372727,0.7332400747654653,0.4506 ± 0.1690
MCC,0.7319819293217977,0.060473139499152735,0.7,0.7,0.8528028654224417,0.7,0.8382332569988522,0.7320 ± 0.0605
Cohen's Kappa,0.7217543859649123,0.0615446998282285,0.7,0.6666666666666667,0.8421052631578947,0.67,0.8278947368421052,0.7218 ± 0.0615
