Feature,Importance_Mean,Importance_Std,Importance_Mean_StdErr,P_Value,Significant_005,Significant_001,CI_Lower,CI_Upper
Hyd,0.16044444444444442,0.04265045988491874,0.007786872988979727,0.3349210621600226,No,No,0.1451824538338564,0.17570643505503244
Center_Angle_deg,0.029777777777777743,0.020274657294145855,0.0037016290485634464,0.04311073418146583,Yes,No,0.022522718158466123,0.03703283739708936
HiF_HiMom_PDB,0.027555555555555514,0.014166557733785974,0.0025864477443312815,0.19258029390304457,No,No,0.02248621112877134,0.03262489998233969
HCS3_HF_Mean_PDB,0.014222222222222176,0.019756542907460328,0.003607034736244907,0.3612574637599969,No,No,0.007152564048197225,0.021291880396247128
HCS4_HF_Mean_SD_PDB,0.00799999999999997,0.01484737163421339,0.0027107467879070053,0.06993223452775357,No,No,0.0026870339244946043,0.013312966075505337
HMom_PDB,0.0013333333333333123,0.00867520946486363,0.0015838693049960435,0.22170771849123094,No,No,-0.0017709934606774192,0.004437660127344044
HoF_HiF_Distance,-0.0026666666666666948,0.008000000000000028,0.0014605934866804482,0.32753691573499766,No,No,-0.005529377296614156,0.0001960439632807667
HCS3_HF_Mean_SD_PDB,-0.003111111111111142,0.008207193472275314,0.0014984216661914466,0.15054697072309967,No,No,-0.006047963610500877,-0.00017425861172140752
HoF_HMom_PDB,-0.00488888888888892,0.006425258797689357,0.001173086393767661,0.16699881029251012,No,No,-0.007188095971427508,-0.002589681806350332
