Recall,Precision
1.0,0.3333333333333333
1.0,0.33783783783783783
1.0,0.3424657534246575
1.0,0.3472222222222222
1.0,0.352112676056338
1.0,0.35714285714285715
1.0,0.36231884057971014
1.0,0.36764705882352944
1.0,0.373134328358209
1.0,0.3787878787878788
1.0,0.38461538461538464
1.0,0.390625
1.0,0.3968253968253968
0.96,0.3870967741935484
0.92,0.3770491803278688
0.92,0.38333333333333336
0.92,0.3898305084745763
0.92,0.39655172413793105
0.92,0.40350877192982454
0.92,0.4107142857142857
0.92,0.41818181818181815
0.92,0.42592592592592593
0.92,0.4339622641509434
0.92,0.4423076923076923
0.92,0.45098039215686275
0.92,0.46
0.92,0.46938775510204084
0.92,0.4791666666666667
0.92,0.48936170212765956
0.92,0.5
0.88,0.4888888888888889
0.88,0.5
0.88,0.5116279069767442
0.88,0.5238095238095238
0.88,0.5365853658536586
0.88,0.55
0.88,0.5641025641025641
0.88,0.5789473684210527
0.88,0.5945945945945946
0.88,0.6111111111111112
0.84,0.6
0.8,0.5882352941176471
0.8,0.6060606060606061
0.8,0.625
0.8,0.6451612903225806
0.8,0.6666666666666666
0.8,0.6896551724137931
0.8,0.7142857142857143
0.8,0.7407407407407407
0.76,0.7307692307692307
0.76,0.76
0.76,0.7916666666666666
0.76,0.8260869565217391
0.76,0.8636363636363636
0.72,0.8571428571428571
0.68,0.85
0.68,0.8947368421052632
0.64,0.8888888888888888
0.6,0.8823529411764706
0.56,0.875
0.52,0.8666666666666667
0.48,0.8571428571428571
0.44,0.8461538461538461
0.4,0.8333333333333334
0.4,0.9090909090909091
0.36,0.9
0.32,0.8888888888888888
0.28,0.875
0.24,0.8571428571428571
0.2,0.8333333333333334
0.2,1.0
0.16,1.0
0.12,1.0
0.08,1.0
0.04,1.0
0.0,1.0
